기간,품목코드,품목명,반입_금액(1000달러),반입_금액_증가율(퍼센트),반입_중량(kg),반입_중량_증가율(퍼센트),반출_금액(1000달러),반출_금액_증가율(퍼센트),반출_중량(kg),반축_중량_증가율(퍼센트),반출입_금액(1000달러),반출입_금액_증가율(퍼센트),반출입_중량(kg),반출입_중량_증가율(퍼센트)
1993,96,제96류 잡 품,,,,,55.526,,0,,55.526,,0,
1994,1,제1류 산 동물,574.194,152.637,137062,32.684,,,,,574.194,152.637,137062,32.684
1994,3,제3류 어류·갑각류·연체동물 및 기타 수생무척추동물,2703.577,245.089,3128786,201.683,96.641,,100130,,2800.218,257.424,3228916,211.338
1994,5,제5류 다른 류에 분류되지 아니한 동물성 생산품,807.418,1.222,131679,-78.307,94.764,,5168,,902.182,13.102,136847,-77.456
1994,7,제7류 식용의 채소·뿌리 및 괴경,963.346,-48.838,280594,-60.699,,,,,963.346,-48.838,280594,-60.699
1994,8,제8류 식용의 과실 및 견과류와 감귤류 또는 멜론의 껍질,6442.326,77.315,3163196,46.12,18.384,,10000,,6460.71,77.821,3173196,46.582
1994,12,"제12류 채유용에 적합한 종자와 과실, 각종의 종자와 과실, 공업용 또는 의약용의 식물, 짚과 사료용 식물",2061.101,23.567,2276192,208.285,,,,,2061.101,23.098,2276192,208.219
1994,15,"제15류 동식물성 유지 및 이들의 분해생산물, 조제식용지와 동식물성의 납",,,,,105.979,,210000,,105.979,,210000,
1994,16,제16류 육류·어류·갑각류·연체동물 또는 기타 수생무척추동물의 조제품,19.802,-82.44,10564,-86.341,,,,,19.802,-82.44,10564,-86.341
1994,17,제17류 당류와 설탕과자,,,,,1988.742,3081.987,5315000,2557.5,1988.742,3081.987,5315000,2557.5
1994,19,제19류 곡물·분·전분 또는 밀크의 조제품과 베이커리 제품,116.505,-37.605,202551,-15.476,,,,,116.505,-37.605,202551,-15.476
1994,22,제22류 음료·알콜 및 식초,1690.863,42.564,0,,,,,,1690.863,42.564,0,
1994,23,제23류 식품 공업에서 생기는 잔재물 및 웨이스트와 조제사료,148.865,-75.271,310000,-79.478,,,,,148.865,-75.271,310000,-79.478
1994,25,"제25류 소금, 황, 토석류 및 석고·석회와 시멘트",1542.525,81.888,8869043,-55.272,,,,,1542.525,81.888,8869043,-55.272
1994,27,"제27류 광물성 연료, 광물유와 이들의 증류물, 역청물질 및 광물성 왁스",1008.645,93.179,22306000,102.065,,,,,1008.645,93.179,22306000,102.065
1994,28,제28류 무기화학품 및 귀금속·희토류금속·방사성원소 또는 동위원소의 유기 또는 무기화합물,79.841,82.518,203000,94.5,,,,,79.841,82.518,203000,94.5
1994,29,제29류 유기화학품,,,,,988.129,24.425,3039694,-44.834,988.129,24.425,3039694,-44.834
1994,32,"제32류 유연 또는 염색엑스, 탄닌과 그들의 유도체, 염료·안료와 기타 착색제, 페인트와 바니쉬, 퍼티와 기타 매스틱 및 잉크",,,,,0.5,,150,,0.5,,150,
1994,34,제34류 비누·유기계면활성제·조제세제·조제윤활제·인조왁스·조제왁스·광택 또는 연마조제품·양초와 이와 유사한 물품·조형용 페이스트·치과용왁스와 플라스터를 기제로 한 치과용 조제품,,,,,175.299,41.794,500000,22.488,175.299,41.794,500000,22.488
1994,35,"제35류 단백질계 물질, 변성전분, 글루 및 효소",,,,,0.079,,170,,0.079,,170,
1994,39,제39류 플라스틱과 그 제품,874.544,41.219,1479466,24.706,391.859,24.404,545315,117.544,1266.403,35.55,2024781,40.901
1994,40,제40류 고무와 그 제품,,,,,1025.096,,756800,,1025.096,,756800,
1994,41,제41류 원피(모피를 제외한다)와 가죽,,,,,2.284,,0,,2.284,,0,
1994,42,제42류 가죽제품·마구·여행용구·핸드백 및 이와 유사한 용기와 동물의 거트(누에의 거트를 제외한다)의 제품,1.779,,0,,35.948,,0,,37.727,,0,
1994,44,제44류 목재와 그 제품 및 목탄,194.956,74.373,2864000,,,,,,194.956,74.373,2864000,
1994,46,제46류 짚·에스파르토 또는 기타 조물재료의 제품과 농세공물 및 지조세공물,1755.242,230.878,52614,,,,,,1755.242,230.878,52614,
1994,48,"제48류 지와 판지, 제지용 펄프, 지 또는 판지의 제품",,,,,77.572,13297.582,20906,63251.515,77.572,13297.582,20906,63251.515
1994,49,"제49류 인쇄서적·신문·회화 및 기타의 인쇄물, 수제문서·타이프문서 및 도면",11.636,,0,,8.98,,0,,20.616,,0,
1994,50,제50류 견,69.239,-83.824,4057,-90.282,,,,,69.239,-83.824,4057,-90.282
